concat(annotationID,' ',annotationURI)
61543 info:doi/10.1371/annotation/03366028-d218-4d99-94e3-4a25ef0b1f70
60443 info:doi/10.1371/annotation/03398970-be5b-4422-bc18-039410ae188d
241 info:doi/10.1371/annotation/033b31a4-9403-49de-b46c-03eb3bf75ac5
85730 info:doi/10.1371/annotation/033c37c3-9f67-466c-8dc2-be02377fcdde
243 info:doi/10.1371/annotation/033c63a1-077d-4414-99e9-e876945a3de7
245 info:doi/10.1371/annotation/033e49fb-11c7-4f30-9571-5d1788e8d416
247 info:doi/10.1371/annotation/034050bc-3f3a-4e4a-8c1c-75afe1eef008
81189 info:doi/10.1371/annotation/0341df64-4299-4a8a-aad6-272e9ac1d8c4
88432 info:doi/10.1371/annotation/03425f00-b7d9-4ce2-847b-bb19786ae479
249 info:doi/10.1371/annotation/034344a6-a6f6-40c9-a85b-63f6bfce69c8
61939 info:doi/10.1371/annotation/0347c6df-29a6-4d60-aece-6f1c4d492278
251 info:doi/10.1371/annotation/0347eb52-a192-4b43-9268-78063c3b8f06
62685 info:doi/10.1371/annotation/034d3a2a-470d-46f4-8e54-14dde64dc902
51431 info:doi/10.1371/annotation/034d75c8-55b6-41ab-abfd-02e6cd8bf234
62261 info:doi/10.1371/annotation/0350db35-c038-4cb6-a593-f55bab59221b
59837 info:doi/10.1371/annotation/0358410e-b187-4951-b613-021f05a681f9
44449 info:doi/10.1371/annotation/0358f830-a559-4341-a1c0-f8ef391cadf6
81439 info:doi/10.1371/annotation/035d0533-fb90-4c53-b409-31f303e67815
63685 info:doi/10.1371/annotation/035f7136-22b0-4111-8fd7-27f45903f815
253 info:doi/10.1371/annotation/0362e30c-3a46-4e3b-a877-037387e610ef
50639 info:doi/10.1371/annotation/0363f2bb-1121-44b7-b274-4e895383c1f0
51351 info:doi/10.1371/annotation/03684a51-a861-4c0d-b46a-8ef8d85ca2e8
255 info:doi/10.1371/annotation/036a1bd1-f2c0-47c7-8ffa-45b679633fd7
80303 info:doi/10.1371/annotation/036f930e-c800-4def-ad79-1cdb1e8401c8
257 info:doi/10.1371/annotation/037223f7-08e6-4546-b192-fc98a604101d
88181 info:doi/10.1371/annotation/03761220-a449-4042-979a-8f62f04fb227
50669 info:doi/10.1371/annotation/037894b2-3a12-41d1-92fd-0af9b9037b86
261 info:doi/10.1371/annotation/0378e018-1d91-4fc0-89b5-e3fa243e5de7
78721 info:doi/10.1371/annotation/03835d52-808e-42e8-8b1d-57618493abce
43575 info:doi/10.1371/annotation/0389e02d-30d9-459a-887b-091ec8c627c6
86719 info:doi/10.1371/annotation/038f6b3c-4b0b-499f-ab21-5bc4794bb886
263 info:doi/10.1371/annotation/038f6c24-2f8b-4163-88e8-b6eb84b07dfa
265 info:doi/10.1371/annotation/03944a00-bc10-49e8-b0f4-206af04058b1
44043 info:doi/10.1371/annotation/039d1219-10cb-4f29-ac42-3a65d24dfaf7
267 info:doi/10.1371/annotation/039de29c-8f0e-490b-b458-bc6c8262b83e
52547 info:doi/10.1371/annotation/03a9a9dc-011d-4088-b4ce-4c134bad4f7c
49759 info:doi/10.1371/annotation/03aa7690-6d34-4f52-a416-c16f8302e001
86016 info:doi/10.1371/annotation/03aa7ee6-6ed7-4961-9a4e-4ab8bd4612ba
79403 info:doi/10.1371/annotation/03aca3e7-ed1c-4173-9b8f-3ea414e4ae8a
53397 info:doi/10.1371/annotation/03acd01f-63c1-4de8-8959-59f4ef73b18a
271 info:doi/10.1371/annotation/03ad497c-94c1-47a7-9fe1-ca5186a9aad2
51007 info:doi/10.1371/annotation/03b9b868-6f33-4d4f-9204-f12a029d2975
273 info:doi/10.1371/annotation/03bb5407-8bf1-4c71-b937-dad66016a5aa
275 info:doi/10.1371/annotation/03bc79bd-0159-4a71-8b48-64888b7aa5ab
63553 info:doi/10.1371/annotation/03beecfa-6982-4424-8c8d-e2f2ff32f323
277 info:doi/10.1371/annotation/03bf5dce-c99f-4808-930b-795e34ba08ea
279 info:doi/10.1371/annotation/03c25202-c6c4-477a-a655-674d4cb297bc
71971 info:doi/10.1371/annotation/03c43450-e4ff-427c-8b7f-1b689ac32aef
281 info:doi/10.1371/annotation/03c5fd5a-fa53-4148-b44a-0c121375cd6f
84290 info:doi/10.1371/annotation/03c735a4-10d1-427d-9a7c-b47e0a29de15
82089 info:doi/10.1371/annotation/03c776da-68c4-48c3-8636-f67ca9430140
283 info:doi/10.1371/annotation/03c8f4e6-d05a-4383-9f9a-298b1059cf96
69065 info:doi/10.1371/annotation/03cab123-81e0-4b64-ad90-c17f78b26371
285 info:doi/10.1371/annotation/03cf389e-158f-4043-8aa4-af7a35b0c8e4
287 info:doi/10.1371/annotation/03cf5d07-6d0a-4b40-b039-2da94acab8a3
86250 info:doi/10.1371/annotation/03e1c128-95e1-409b-bfdd-e8784fba92c6
